robot_pos_x,robot_pos_y,img_pos_x,img_pos_y
-88.18359375,-85.546875,438.0,190.0
-80.859375,-85.83984375,434.0,182.0
-70.60546875,-86.1328125,433.0,169.0
-61.23046875,-86.1328125,458.0,164.0
-51.26953125,-86.1328125,438.0,161.0
-41.30859375,-86.1328125,440.0,172.0
-31.640625,-86.1328125,434.0,165.0
-21.09375,-86.1328125,430.0,165.0
-11.1328125,-86.1328125,428.0,174.0
-0.87890625,-86.1328125,428.0,184.0
-88.18359375,-68.26171875,414.0,162.0
-81.15234375,-67.96875,410.0,146.0
-71.19140625,-67.96875,406.0,130.0
-61.81640625,-67.96875,404.0,122.0
-51.85546875,-67.96875,408.0,119.0
-42.1875,-67.96875,410.0,134.0
-32.2265625,-67.96875,408.0,127.0
-21.6796875,-67.96875,404.0,130.0
-11.1328125,-67.96875,404.0,143.0
-0.87890625,-68.26171875,404.0,157.0
-88.4765625,-49.21875,372.0,135.0
-81.4453125,-48.92578125,370.0,116.0
-71.77734375,-48.92578125,370.0,97.0
-61.81640625,-48.92578125,368.0,88.0
-52.1484375,-48.92578125,370.0,114.0
-42.1875,-48.92578125,370.0,105.0
-32.2265625,-48.92578125,368.0,89.0
-21.6796875,-48.92578125,366.0,101.0
-11.1328125,-48.92578125,368.0,118.0
-0.87890625,-48.92578125,370.0,138.0
-88.76953125,-29.8828125,326.0,122.0
-81.73828125,-29.8828125,328.0,101.0
-72.0703125,-29.8828125,327.0,79.0
-62.109375,-29.8828125,336.0,70.0
-52.1484375,-29.8828125,324.0,68.0
-42.48046875,-29.8828125,326.0,68.0
-32.51953125,-29.8828125,324.0,73.0
-21.97265625,-29.8828125,324.0,86.0
-11.1328125,-29.8828125,326.0,106.0
-0.87890625,-29.8828125,328.0,128.0
-88.76953125,-10.83984375,270.0,180.0
-81.73828125,-10.83984375,266.0,101.0
-72.0703125,-10.83984375,270.0,98.0
-62.109375,-10.83984375,272.0,74.0
-52.1484375,-10.83984375,274.0,68.0
-42.48046875,-10.546875,276.0,66.0
-32.8125,-10.83984375,278.0,72.0
-21.97265625,-10.546875,280.0,85.0
-11.1328125,-10.83984375,280.0,105.0
-0.87890625,-10.546875,282.0,127.0
-88.76953125,8.203125,200.0,127.0
-81.73828125,8.203125,204.0,108.0
-72.0703125,8.203125,208.0,87.0
-62.109375,8.203125,214.0,80.0
-52.1484375,8.49609375,220.0,78.0
-42.1875,8.49609375,224.0,75.0
-32.51953125,8.49609375,228.0,79.0
-21.6796875,8.49609375,232.0,92.0
-11.1328125,8.49609375,236.0,110.0
-0.87890625,8.49609375,240.0,131.0
-88.4765625,26.953125,156.0,149.0
-81.4453125,26.953125,160.0,132.0
-71.77734375,26.953125,164.0,114.0
-61.81640625,27.24609375,170.0,106.0
-51.85546875,27.24609375,184.0,104.0
-42.1875,27.24609375,188.0,102.0
-32.2265625,27.24609375,188.0,105.0
-21.6796875,27.5390625,192.0,114.0
-11.1328125,27.5390625,198.0,132.0
-0.87890625,27.5390625,214.0,151.0
-88.18359375,46.58203125,148.0,180.0
-81.15234375,46.58203125,150.0,166.0
-70.8984375,46.58203125,158.0,152.0
-61.5234375,46.2890625,164.0,146.0
-51.5625,46.58203125,194.0,162.0
-41.89453125,46.58203125,180.0,186.0
-31.93359375,46.58203125,164.0,171.0
-21.38671875,46.58203125,166.0,155.0
-11.1328125,46.58203125,170.0,173.0
-0.87890625,46.58203125,176.0,195.0
-87.59765625,65.91796875,136.0,228.0
-80.56640625,65.91796875,136.0,209.0
-70.60546875,65.91796875,142.0,200.0
-60.9375,65.91796875,155.0,252.0
-50.9765625,65.91796875,180.0,203.0
-41.015625,65.91796875,158.0,221.0
-31.34765625,65.91796875,154.0,219.0
-21.09375,65.91796875,154.0,204.0
-10.83984375,65.91796875,158.0,207.0
-0.87890625,66.2109375,160.0,207.0
-87.3046875,76.46484375,134.0,232.0
-79.6875,76.46484375,136.0,226.0
-70.3125,76.171875,140.0,218.0
-60.05859375,76.46484375,144.0,216.0
-50.68359375,76.46484375,160.0,217.0
-41.015625,76.171875,152.0,264.0
-31.34765625,76.46484375,156.0,249.0
-21.09375,76.46484375,154.0,229.0
-10.546875,76.171875,156.0,220.0
-0.87890625,76.46484375,158.0,229.0
